card,en,fr,de,nl,es
adventures_amulet,Amulet,Amulette,Amulett,Amulet,Amuleto
adventures_artificer,Artificer,Maître artisan,Kunsthandwerker,Kanonnengieter,Vidriero
adventures_bridgetroll,Bridge Troll,Pont aux trolls,Brückentroll,Brugtrol,Puente del Trol
adventures_caravanguard,Caravan Guard,Escorte,Karawanenwächter,Karavaanescorte,Escolta
adventures_distantlands,Distant Lands,Terres lointaines,Ferne Lande,Verre landen,Tierras Lejanas
adventures_dungeon,Dungeon,Donjon,Verlies,Kerker,Mazmorra
adventures_duplicate,Duplicate,Copie,Duplikat,Duplicaat,Réplica
adventures_gear,Gear,Équipement,Ausrüstung,Uitrusting,Equipamiento
adventures_giant,Giant,Géant,Riese,Reus,Gigante
adventures_guide,Guide,Guide,Kundschafter,Gids,Guía
adventures_hauntedwoods,Haunted Woods,Bois hantés,Geisterwald,Spookbos,Bosque Encantado
adventures_hireling,Hireling,Recrue,Gefolgsmann,Huursoldaat,Recluta
adventures_lostcity,Lost City,Cité perdue,Verlorene Stadt,Verloren stad,Ciudad Perdida
adventures_magpie,Magpie,Pie voleuse,Elster,Ekster,Urraca
adventures_messenger,Messenger,Courrier,Kurier,Koerier,Mensajero
adventures_miser,Miser,Miséreux,Geizhals,Vrek,Avaro
adventures_page,Page,Page,Page,Wapenknecht,Paje
adventures_peasant,Peasant,Paysan,Kleinbauer,Boer,Campesino
adventures_port,Port,Ville portuaire,Hafenstadt,Zeehaven,Aldea Portuaria
adventures_ranger,Ranger,Forestier,Wildhüter,Woudloper,Guarda Forestal
adventures_ratcatcher,Ratcatcher,Chasseur de rats,Rattenfänger,Rattenvanger,Cazador de Ratas
adventures_raze,Raze,Démolition,Zerstörung,Afbraak,Arrasar
adventures_relic,Relic,Relique,Relikt,Relikwie,Reliquia
adventures_royalcarriage,Royal Carriage,Cortège royal,Königliche Kutsche,Koninklijke koets,Carruaje Real
adventures_storyteller,Storyteller,Conteuse,Geschichtenerzähler,Verteller,Cuentacuentos
adventures_swamphag,Swamp Hag,Sorcière des marais,Sumpfhexe,Heks uit het moeras,Bruja del Pantano
adventures_transmogrify,Transmogrify,Transfiguration,Transformation,Metamorfose,Transfigurar
adventures_treasuretrove,Treasure Trove,Pierres précieuses,Schatz,Verborgen schat,Piedras Preciosas
adventures_winemerchant,Wine Merchant,Marchand de vin,Weinhändler,Wijnhandelaar,Comerciante de Vino
adventures_coinoftherealm,Coin of the Realm,Monnaie royale,Königliche Münzen,Koninklijke munt,Moneda Real
adventures_event_mission,Mission,Mission,Mission,Missie,Misión
adventures_event_scoutingparty,Scouting Party,Pistage,Spähtrupp,Verkennerseenheid,Avanzadilla
adventures_event_pathfinding,Pathfinding,Reconnaissance,Wegsuche,Woudlopen,Rastreo
adventures_event_bonfire,Bonfire,Feu de joie,Freudenfeuer,Vreugdevuur,Hoguera
adventures_event_pilgrimage,Pilgrimage,Pèlerinage,Pilgerfahrt,Bedevaart,Peregrinaje
adventures_event_training,Training,Entraînement,Training,Training,Entrenamiento
adventures_event_ball,Ball,Bal,Ball,Bal,Baile
adventures_event_travellingfair,Travelling Fair,Forains,Wanderzirkus,Kermis,Feria Ambulante
adventures_event_save,Save,Resserre,Zuflucht,Sparen,Reserva
adventures_event_borrow,Borrow,Emprunt,Leihgabe,Lenen,Crédito
adventures_event_lostarts,Lost Arts,Arts anciens,Verlorene Kunst,Verloren Kunst,Artes Perdidas
adventures_event_trade,Trade,Commerce,Handel,Handel,Intercambio
adventures_event_raid,Raid,Raid,Überfall,Overval,Asalto
adventures_event_quest,Quest,Quête,Quest,Queeste,Búsqueda
adventures_event_expedition,Expedition,Expédition,Expedition,Expeditie,Expedición
adventures_event_alms,Alms,Aumône,Almosen,Aalmoes,Limosna
adventures_event_inheritance,Inheritance,Héritage,Erbschaft,Erfenis,Herencia
adventures_event_ferry,Ferry,Bac,Überfahrt,Veerboot,Barca
adventures_event_plan,Plan,Plan de bataille,Planung,Plan,Estrategia
adventures_event_seaway,Seaway,Route maritime,Seeweg,Zeeroute,Vía Marítima
adventures_treasurehunter,Treasure Hunter,Chasseuse de Trésor,,,
adventures_warrior,Warrior,Guerrière,,,
adventures_hero,Hero,Héroïne,,,
adventures_champion,Champion,Championne,,,
adventures_soldier,Soldier,Soldat,,,
